Date,NumberAdmitted,SevenDayAverage,SevenDayAverageQF
20200301,5,,z
20200302,11,,z
20200303,13,,z
20200304,10,,z
20200305,19,,z
20200306,21,,z
20200307,10,12.71428571,""
20200308,12,13.71428571,""
20200309,19,14.85714286,""
20200310,30,17.28571429,""
20200311,27,19.71428571,""
20200312,24,20.42857143,""
20200313,25,21,""
20200314,22,22.71428571,""
20200315,17,23.42857143,""
20200316,31,25.14285714,""
20200317,42,26.85714286,""
20200318,43,29.14285714,""
20200319,41,31.57142857,""
20200320,72,38.28571429,""
20200321,62,44,""
20200322,52,49,""
20200323,95,58.14285714,""
20200324,98,66.14285714,""
20200325,123,77.57142857,""
20200326,155,93.85714286,""
20200327,148,104.7142857,""
20200328,155,118,""
20200329,137,130.1428571,""
20200330,191,143.8571429,""
20200331,184,156.1428571,""
20200401,214,169.1428571,""
20200402,169,171.1428571,""
20200403,212,180.2857143,""
20200404,153,180,""
20200405,161,183.4285714,""
20200406,202,185,""
20200407,171,183.1428571,""
20200408,158,175.1428571,""
20200409,130,169.5714286,""
20200410,118,156.1428571,""
20200411,79,145.5714286,""
20200412,85,134.7142857,""
20200413,102,120.4285714,""
20200414,101,110.4285714,""
20200415,98,101.8571429,""
20200416,98,97.28571429,""
20200417,109,96,""
20200418,74,95.28571429,""
20200419,58,91.42857143,""
20200420,68,86.57142857,""
20200421,70,82.14285714,""
20200422,63,77.14285714,""
20200423,67,72.71428571,""
20200424,91,70.14285714,""
20200425,44,65.85714286,""
20200426,39,63.14285714,""
20200427,76,64.28571429,""
20200428,71,64.42857143,""
20200429,50,62.57142857,""
20200430,57,61.14285714,""
20200501,56,56.14285714,""
20200502,46,56.42857143,""
20200503,40,56.57142857,""
20200504,53,53.28571429,""
20200505,40,48.85714286,""
20200506,46,48.28571429,""
20200507,36,45.28571429,""
20200508,33,42,""
20200509,20,38.28571429,""
20200510,27,36.42857143,""
20200511,33,33.57142857,""
20200512,37,33.14285714,""
20200513,27,30.42857143,""
20200514,28,29.28571429,""
20200515,33,29.28571429,""
20200516,18,29,""
20200517,9,26.42857143,""
20200518,27,25.57142857,""
20200519,14,22.28571429,""
20200520,19,21.14285714,""
20200521,14,19.14285714,""
20200522,15,16.57142857,""
20200523,14,16,""
20200524,8,15.85714286,""
20200525,13,13.85714286,""
20200526,14,13.85714286,""
20200527,11,12.71428571,""
20200528,6,11.57142857,""
20200529,10,10.85714286,""
20200530,4,9.428571429,""
20200531,10,9.714285714,""
20200601,7,8.857142857,""
20200602,5,7.571428571,""
20200603,9,7.285714286,""
20200604,7,7.428571429,""
20200605,10,7.428571429,""
20200606,5,7.571428571,""
20200607,7,7.142857143,""
20200608,3,6.571428571,""
20200609,5,6.571428571,""
20200610,8,6.428571429,""
20200611,7,6.428571429,""
20200612,2,5.285714286,""
20200613,4,5.142857143,""
20200614,6,5,""
20200615,7,5.571428571,""
